"TOA5","CR200 Series","CR200X","27362","CR200X.Std.04","Sxxxx V1_09 test NPHK_P1.CR2","27977","NPHK_test_p1_2"
"TIMESTAMP","RECORD","Perm_1_Avg","Period_1_Avg","VR_1_Avg","Perm_2_Avg","Period_2_Avg","VR_2_Avg","Perm_3_Avg","Period_3_Avg","VR_3_Avg","Perm_4_Avg","Period_4_Avg","VR_4_Avg"
"TS","RN","","","","","","","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2017-10-23 18:00:00",0,2.83035,1.1708,1.0012,2.852234,1.1766,1.0003,2.277283,1.1416,1.000667,3.05305,1.185883,1.0005
"2017-10-23 19:00:00",1,2.812134,1.1698,1.001217,2.853433,1.1766,1.000117,2.279533,1.1416,1.000383,3.049633,1.1857,1.000467
"2017-10-23 20:00:00",2,2.813017,1.1698,1.001117,2.852433,1.1766,1.000267,2.279917,1.1416,1.000333,3.049017,1.1857,1.00055
"2017-10-23 21:00:00",3,2.8109,1.1698,1.001383,2.8531,1.1766,1.000167,2.27955,1.1416,1.000383,3.049433,1.1857,1.000483
"2017-10-23 22:00:00",4,2.812,1.1698,1.00125,2.853033,1.1766,1.000167,2.279833,1.1416,1.000333,3.040667,1.1853,1.000683
"2017-10-23 23:00:00",5,2.813417,1.1698,1.00105,2.851633,1.1766,1.00035,2.28005,1.1416,1.0003,3.0272,1.1845,1.00045
"2017-10-24 00:00:00",6,2.812667,1.1698,1.00115,2.851233,1.1766,1.000433,2.27865,1.1416,1.000467,3.02595,1.1845,1.00065
"2017-10-24 01:00:00",7,2.813817,1.1698,1.001,2.8527,1.1766,1.000233,2.279883,1.1416,1.00035,3.026967,1.1845,1.000483
"2017-10-24 02:00:00",8,2.81375,1.1698,1.000983,2.8537,1.1766,1.000067,2.280566,1.1416,1.00025,3.026617,1.1845,1.000517
"2017-10-24 03:00:00",9,2.8132,1.1698,1.001083,2.852433,1.1766,1.000267,2.279983,1.1416,1.00035,3.027233,1.1845,1.00045
"2017-10-24 04:00:00",10,2.8141,1.1698,1.000967,2.8519,1.1766,1.000333,2.279533,1.1416,1.0004,3.026417,1.1845,1.000567
"2017-10-24 05:00:00",11,2.814033,1.1698,1.000983,2.852234,1.1766,1.000283,2.280133,1.1416,1.0003,3.0273,1.1845,1.000433
"2017-10-24 06:00:00",12,2.791983,1.1687,1.001017,2.851833,1.1766,1.00035,2.278833,1.1416,1.000467,3.027033,1.1845,1.000467
"2017-10-24 07:00:00",13,2.79145,1.1687,1.001133,2.853433,1.1766,1.000117,2.279617,1.1416,1.00035,3.026767,1.1845,1.000517
"2017-10-24 08:00:00",14,2.793433,1.1687,1.000867,2.851967,1.1766,1.000317,2.278683,1.1416,1.000517,3.02695,1.1845,1.0005
"2017-10-24 09:00:00",15,2.792217,1.1687,1.001,2.852633,1.1766,1.000233,2.278883,1.1416,1.000483,3.026667,1.1845,1.00055
"2017-10-24 10:00:00",16,2.791867,1.1687,1.001067,2.8531,1.1766,1.000167,2.270233,1.14105,1.00025,3.015933,1.18395,1.000483
"2017-10-24 11:00:00",17,2.792733,1.1687,1.000933,2.8519,1.1766,1.000333,2.25845,1.1405,1.000483,3.0052,1.1834,1.0004
"2017-10-24 12:00:00",18,2.79105,1.1687,1.001167,2.851967,1.1766,1.000333,2.259084,1.1405,1.0004,3.003467,1.1834,1.000633
"2017-10-24 13:00:00",19,2.79145,1.1687,1.0011,2.853567,1.1766,1.000117,2.259883,1.1405,1.000283,3.0042,1.1834,1.000533
"2017-10-24 14:00:00",20,2.792617,1.1687,1.000967,2.853633,1.1766,1.0001,2.2591,1.1405,1.000383,3.003933,1.1834,1.00055
"2017-10-24 15:00:00",21,2.792667,1.1687,1.00095,2.852834,1.1766,1.0002,2.258467,1.1405,1.00045,3.005067,1.1834,1.000417
"2017-10-24 16:00:00",22,2.79365,1.1687,1.000817,2.853566,1.1766,1.000117,2.2602,1.1405,1.000233,3.0052,1.1834,1.000417
"2017-10-24 17:00:00",23,2.7918,1.1687,1.001067,2.853566,1.1766,1.0001,2.2593,1.1405,1.000367,3.005133,1.1834,1.0004
"2017-10-24 18:00:00",24,2.792466,1.1687,1.000967,2.852433,1.1766,1.00025,2.258466,1.1405,1.000467,3.004534,1.1834,1.0005
"2017-10-24 19:00:00",25,2.791734,1.1687,1.001083,2.852767,1.1766,1.0002,2.25905,1.1405,1.0004,3.003067,1.1834,1.0007
"2017-10-24 20:00:00",26,2.7929,1.1687,1.0009,2.8504,1.176417,1.00005,2.259467,1.1405,1.00035,3.004133,1.1834,1.000533
"2017-10-24 21:00:00",27,2.792417,1.1687,1.000967,2.830967,1.1755,1.000217,2.259083,1.1405,1.000383,3.004967,1.1834,1.000433
"2017-10-24 22:00:00",28,2.79235,1.1687,1.000983,2.8295,1.1755,1.00045,2.2607,1.1405,1.000167,3.005083,1.1834,1.000417
"2017-10-24 23:00:00",29,2.790783,1.1687,1.0012,2.8299,1.1755,1.000367,2.25975,1.1405,1.0003,3.005483,1.1834,1.000367
"2017-10-25 00:00:00",30,2.791933,1.1687,1.001017,2.831233,1.1755,1.000167,2.2604,1.1405,1.000217,3.004267,1.1834,1.000533
"2017-10-25 01:00:00",31,2.7927,1.1687,1.00095,2.830434,1.1755,1.000283,2.25975,1.1405,1.000283,3.004133,1.1834,1.00055
"2017-10-25 02:00:00",32,2.788967,1.168517,1.000967,2.832633,1.1755,0.9999666,2.258683,1.1405,1.00045,3.003817,1.1834,1.0006
"2017-10-25 03:00:00",33,2.771317,1.1676,1.000933,2.8301,1.1755,1.000333,2.2601,1.1405,1.000267,2.992967,1.18285,1.00055
"2017-10-25 04:00:00",34,2.770416,1.1676,1.001067,2.8303,1.1755,1.0003,2.24025,1.1393,1.0002,2.983433,1.1823,1.000317
"2017-10-25 05:00:00",35,2.771,1.1676,1.000983,2.8311,1.1755,1.000183,2.239367,1.1393,1.000317,2.981517,1.1823,1.0006
"2017-10-25 06:00:00",36,2.771183,1.1676,1.00095,2.8307,1.1755,1.000233,2.238867,1.1393,1.000383,2.982,1.1823,1.000517
"2017-10-25 07:00:00",37,2.77105,1.1676,1.000967,2.831167,1.1755,1.000183,2.23865,1.1393,1.000417,2.982217,1.1823,1.000483
"2017-10-25 08:00:00",38,2.770917,1.1676,1.001,2.831833,1.1755,1.000083,2.237917,1.1393,1.0005,2.982817,1.1823,1.0004
"2017-10-25 09:00:00",39,2.7718,1.1676,1.000883,2.832033,1.1755,1.00005,2.239383,1.1393,1.000317,2.982417,1.1823,1.00045
"2017-10-25 10:00:00",40,2.770917,1.1676,1.000983,2.831967,1.1755,1.000067,2.239033,1.1393,1.00035,2.982217,1.1823,1.0005
"2017-10-25 11:00:00",41,2.770483,1.1676,1.00105,2.829767,1.1755,1.000367,2.239,1.1393,1.000367,2.982883,1.1823,1.0004
"2017-10-25 12:00:00",42,2.76975,1.1676,1.00115,2.8311,1.1755,1.000183,2.23875,1.1393,1.000383,2.981533,1.1823,1.0006
"2017-10-25 13:00:00",43,2.770233,1.1676,1.001083,2.8297,1.1755,1.000367,2.2385,1.1393,1.000433,2.9822,1.1823,1.0005
"2017-10-25 14:00:00",44,2.771683,1.1676,1.000917,2.8309,1.1755,1.000233,2.238233,1.1393,1.00045,2.981583,1.1823,1.000583
"2017-10-25 15:00:00",45,2.7712,1.1676,1.000967,2.831367,1.1755,1.00015,2.239733,1.1393,1.000267,2.982133,1.1823,1.000517
"2017-10-25 16:00:00",46,2.770233,1.1676,1.0011,2.831167,1.1755,1.000183,2.239667,1.1393,1.000267,2.982267,1.1823,1.0005
"2017-10-25 17:00:00",47,2.7705,1.1676,1.001033,2.830033,1.1755,1.000333,2.2399,1.1393,1.00025,2.981183,1.1823,1.000633
"2017-10-25 18:00:00",48,2.770167,1.1676,1.001083,2.830167,1.1755,1.000333,2.239583,1.1393,1.000283,2.981933,1.1823,1.000517
"2017-10-25 19:00:00",49,2.770617,1.1676,1.001033,2.8319,1.1755,1.000083,2.24025,1.1393,1.0002,2.981667,1.1823,1.000567
"2017-10-25 20:00:00",50,2.770783,1.1676,1.001,2.830767,1.1755,1.000233,2.219116,1.1382,1.000317,2.979717,1.1821,1.000333
"2017-10-25 21:00:00",51,2.770917,1.1676,1.001,2.8297,1.1755,1.0004,2.218384,1.1382,1.0004,2.960183,1.1811,1.000467
"2017-10-25 22:00:00",52,2.770167,1.1676,1.0011,2.830967,1.1755,1.000217,2.21905,1.1382,1.000317,2.9599,1.1811,1.0005
"2017-10-25 23:00:00",53,2.75685,1.1668,1.000967,2.8305,1.1755,1.000267,2.218533,1.1382,1.000383,2.960233,1.1811,1.00045
"2017-10-26 00:00:00",54,2.74945,1.1664,1.001,2.831233,1.1755,1.000167,2.218983,1.1382,1.000317,2.96065,1.1811,1.0004
"2017-10-26 01:00:00",55,2.750767,1.1664,1.000817,2.823767,1.175133,1.000217,2.219267,1.1382,1.000283,2.9601,1.1811,1.00045
"2017-10-26 02:00:00",56,2.749,1.1664,1.00105,2.8105,1.1744,1.000017,2.2189,1.1382,1.000367,2.96,1.1811,1.000517
"2017-10-26 03:00:00",57,2.74975,1.1664,1.000983,2.808033,1.1744,1.000367,2.2194,1.1382,1.000267,2.958383,1.1811,1.000683
"2017-10-26 04:00:00",58,2.749284,1.1664,1.001017,2.809366,1.1744,1.0002,2.219067,1.1382,1.000317,2.960167,1.1811,1.00045
"2017-10-26 05:00:00",59,2.750217,1.1664,1.000917,2.810167,1.1744,1.000067,2.219983,1.1382,1.0002,2.95955,1.1811,1.00055
"2017-10-26 06:00:00",60,2.749,1.1664,1.001067,2.811233,1.1744,0.9999167,2.218683,1.1382,1.000383,2.959767,1.1811,1.0005
"2017-10-26 07:00:00",61,2.750067,1.1664,1.0009,2.8091,1.1744,1.000217,2.207983,1.13765,1.00045,2.960383,1.1811,1.000417
"2017-10-26 08:00:00",62,2.74885,1.1664,1.0011,2.809366,1.1744,1.000183,2.1989,1.1371,1.0003,2.961533,1.1811,1.000283
"2017-10-26 09:00:00",63,2.7489,1.1664,1.001067,2.810233,1.1744,1.000067,2.20265,1.137283,1.000267,2.959967,1.1811,1.000483
