"TOA5","S6109","CR2xx","27364","CR200X.Std.04","Sxxxx V1_09 test DB_3&2.CR2","6471","DYL_test_p3_2"
"TIMESTAMP","RECORD","Perm_1_Avg","Period_1_Avg","VR_1_Avg","Perm_2_Avg","Period_2_Avg","VR_2_Avg","Perm_3_Avg","Period_3_Avg","VR_3_Avg"
"TS","RN","","","","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2017-12-01 15:00:00",0,46.24635,2.19555,1.35935,48.7353,2.22495,1.82125,53.3872,2.28825,1.71375
"2017-12-01 16:00:00",1,46.28545,2.1961,1.3602,48.6936,2.2244,1.820817,53.42775,2.2888,1.711883
"2017-12-01 17:00:00",2,46.28592,2.1961,1.36055,48.62473,2.223483,1.821283,53.4282,2.2888,1.712167
"2017-12-01 18:00:00",3,46.28601,2.1961,1.3606,48.61045,2.2233,1.820283,53.42695,2.2888,1.711317
"2017-12-01 19:00:00",4,46.28627,2.1961,1.360767,48.61072,2.2233,1.820833,53.42656,2.2888,1.711033
"2017-12-01 20:00:00",5,46.28578,2.1961,1.360417,48.61033,2.2233,1.81995,53.424,2.2888,1.709317
"2017-12-01 21:00:00",6,46.28473,2.1961,1.359667,48.60982,2.2233,1.81885,53.42292,2.2888,1.708567
"2017-12-01 22:00:00",7,46.28435,2.1961,1.359383,48.54053,2.2223,1.8181,53.42244,2.2888,1.708283
"2017-12-01 23:00:00",8,46.28415,2.1961,1.359267,48.52629,2.2221,1.817083,53.4197,2.2888,1.7064
"2017-12-02 00:00:00",9,46.28394,2.1961,1.359067,48.52615,2.2221,1.816783,53.41895,2.2888,1.705917
"2017-12-02 01:00:00",10,46.28302,2.1961,1.35845,48.52602,2.2221,1.816483,53.4176,2.2888,1.705017
"2017-12-02 02:00:00",11,46.28252,2.1961,1.358083,48.52559,2.2221,1.815483,53.41672,2.2888,1.704433
"2017-12-02 03:00:00",12,46.28303,2.1961,1.358417,48.52538,2.2221,1.814983,53.41603,2.2888,1.70395
"2017-12-02 04:00:00",13,46.28257,2.1961,1.358083,48.52512,2.2221,1.81445,53.41508,2.2888,1.703317
"2017-12-02 05:00:00",14,46.28198,2.1961,1.357717,48.51126,2.221917,1.814283,53.4143,2.2888,1.7028
"2017-12-02 06:00:00",15,46.28238,2.1961,1.357983,48.44215,2.221,1.81365,53.41408,2.2888,1.70265
"2017-12-02 07:00:00",16,46.28178,2.1961,1.357567,48.44205,2.221,1.813383,53.41335,2.2888,1.702167
"2017-12-02 08:00:00",17,46.28172,2.1961,1.3575,48.44252,2.221,1.814517,53.41222,2.2888,1.7014
"2017-12-02 09:00:00",18,46.28194,2.1961,1.35765,48.44234,2.221,1.814083,53.41257,2.2888,1.701617
"2017-12-02 10:00:00",19,46.28231,2.1961,1.357933,48.44223,2.221,1.813817,53.41223,2.2888,1.701433
"2017-12-02 11:00:00",20,46.28142,2.1961,1.357267,48.44249,2.221,1.81445,53.41227,2.2888,1.70145
"2017-12-02 12:00:00",21,46.28207,2.1961,1.357733,48.38698,2.220267,1.8133,53.41105,2.2888,1.700617
"2017-12-02 13:00:00",22,46.28186,2.1961,1.357633,48.31792,2.2193,1.812517,53.4112,2.2888,1.700733
"2017-12-02 14:00:00",23,46.28226,2.1961,1.3579,48.277,2.2187,1.813283,53.41037,2.2888,1.700183
"2017-12-02 15:00:00",24,46.28164,2.1961,1.35745,48.2771,2.2187,1.81355,53.40898,2.2888,1.699233
"2017-12-02 16:00:00",25,46.28203,2.1961,1.35775,48.23565,2.21815,1.812867,53.39525,2.288617,1.6997
"2017-12-02 17:00:00",26,46.28264,2.1961,1.358133,48.19448,2.2176,1.8129,53.32289,2.2877,1.699567
"2017-12-02 18:00:00",27,46.23174,2.195367,1.357933,48.19449,2.2176,1.812883,53.32167,2.2877,1.698733
"2017-12-02 19:00:00",28,46.20673,2.195,1.358167,48.15338,2.21705,1.812983,53.32028,2.2877,1.6978
"2017-12-02 20:00:00",29,46.20662,2.195,1.358083,48.11225,2.2165,1.812983,53.3219,2.2877,1.698883
"2017-12-02 21:00:00",30,46.2063,2.195,1.35785,48.11227,2.2165,1.812967,53.31888,2.2877,1.6969
"2017-12-02 22:00:00",31,46.20742,2.195,1.358633,48.08496,2.216133,1.81325,53.3188,2.2877,1.6968
"2017-12-02 23:00:00",32,46.20647,2.195,1.35795,48.03017,2.2154,1.813167,53.28659,2.287333,1.694567
"2017-12-03 00:00:00",33,46.20685,2.195,1.358217,48.03,2.2154,1.812733,53.22879,2.2866,1.69445
"2017-12-03 01:00:00",34,46.20728,2.195,1.358567,47.94775,2.2142,1.812267,53.22718,2.2866,1.69335
"2017-12-03 02:00:00",35,46.20687,2.195,1.358233,47.87925,2.213284,1.811783,53.22623,2.2866,1.692717
"2017-12-03 03:00:00",36,46.2078,2.195,1.358933,47.8655,2.2131,1.811483,53.22548,2.2866,1.6922
"2017-12-03 04:00:00",37,46.15685,2.194267,1.358617,47.8657,2.2131,1.812,53.224,2.2866,1.691217
"2017-12-03 05:00:00",38,46.13155,2.1939,1.358617,47.7974,2.212183,1.811967,53.2223,2.2866,1.6901
